Uniprot Accession,Gene Name,Subcellular localization
Q9Y276,BCS1L,Mitochondria
Q9Y291,MRPS33,Mitochondria
Q9Y295,DRG1,Cytosol
Q9Y2B1,TMEM5,Golgi
Q9Y2L5,TRAPPC8,Golgi
Q9Y2R9,MRPS7,Mitochondria
Q9Y2S0,POLR1D,Nucleus
Q9Y2V2,CARHSP1,Dense cytosol
Q9Y2X3,NOP58,Nucleus
Q9Y2Z4,YARS2,Mitochondria
Q9Y305,ACOT9,Mitochondria
Q9Y375,NDUFAF1,Mitochondria
Q9Y376,CAB39,Cytosol
Q9Y385,UBE2J1,ER
Q9Y399,MRPS2,Mitochondria
Q9Y3B7,MRPL11,Mitochondria
Q9Y3D5,MRPS18C,Mitochondria
Q9Y3P9,RABGAP1,Cytosol
Q9Y4C2,TCAF1,Plasma membrane
Q9Y4D1,DAAM1,Cytosol
Q9Y4D7,PLXND1,Plasma membrane
Q9Y4J8,DTNA,Plasma membrane
Q9Y4P1,ATG4B,Dense cytosol
Q9Y4W6,AFG3L2,Mitochondria
Q9Y5A7,NUB1,Nucleus
Q9Y5B9,SUPT16H,Nucleus
Q9Y5G9,PCDHGA4,Plasma membrane
Q9Y5J7,TIMM9,Mitochondria
Q9Y5J9,TIMM8B,Mitochondria
Q9Y5L4,TIMM13,Mitochondria
Q9Y5M8,SRPRB,ER
Q9Y5Q0,FADS3,ER
Q9Y5T4,DNAJC15,Mitochondria
Q9Y5U8,MPC1,Mitochondria
Q9Y624,F11R,Plasma membrane
Q9Y672,ALG6,ER
Q9Y673,ALG5,ER
Q9Y676,MRPS18B,Mitochondria
Q9Y680,FKBP7,ER
Q9Y6A9,SPCS1,ER
Q9Y6D6,ARFGEF1,Golgi
Q9Y6G3,MRPL42,Mitochondria
Q9Y6G9,DYNC1LI1,Cytosol
Q9Y6K8,AK5,Cytosol
Q9Y6N1,COX11,Mitochondria
Q9Y6N5,SQRDL,Mitochondria
Q9Y6Q2,STON1,Cytosol
Q9Y6W5,WASF2,Cytosol
Q9Y6X5,ENPP4,Plasma membrane
Q9NYF8,BCLAF1,Nucleus
P07339,CTSD,Lysosome
Q9UBR2,CTSZ,Lysosome
Q9H9T3,ELP3,Cytosol
Q13158,FADD,Cytosol
Q14C86,GAPVD1,Cytosol
P13284,IFI30,Lysosome
P48637,GSS,Cytosol
P07686,HEXB,Lysosome
Q04760,GLO1,Cytosol
P53602,MVD,Cytosol
Q15102,PAFAH1B3,Cytosol
P00558,PGK1,Cytosol
Q9UMR5,PPT2,Lysosome
Q06203,PPAT,Cytosol
P06737,PYGL,Cytosol
P17812,CTPS1,Dense cytosol
Q9Y617,PSAT1,Cytosol
P49591,SARS,Cytosol
P53999,SUB1,Nucleus
Q15185,PTGES3,Dense cytosol
Q6DD87,ZNF787,Nucleus
P53396,ACLY,Dense cytosol
P05091,ALDH2,Mitochondria
P04075,ALDOA,Cytosol
P05023,ATP1A1,Plasma membrane
P20020,ATP2B1,Plasma membrane
Q01814,ATP2B2,Plasma membrane
Q16720,ATP2B3,Plasma membrane
P23634,ATP2B4,Plasma membrane
P25705,ATP5A1,Mitochondria
P06576,ATP5B,Mitochondria
P30049,ATP5D,Mitochondria
P19022,CDH2,Plasma membrane
P04040,CAT,Peroxisome
P48509,CD151,Plasma membrane
P13073,COX4I1,Mitochondria
P51659,HSD17B4,Peroxisome
P40939,HADHA,Mitochondria
P55084,HADHB,Mitochondria
P06733,ENO1,Cytosol
P14625,HSP90B1,ER
P09467,FBP1,Cytosol
O95954,FTCD,Golgi
P06744,GPI,Cytosol
Q92805,GOLGA1,Golgi
P16403,HIST1H1C,Nucleus
P10412,HIST1H1E,Nucleus
P16401,HIST1H1B,Nucleus
P68431,HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J,Nucleus
Q13547,HDAC1,Nucleus
P06213,INSR,Plasma membrane
O14654,IRS4,Plasma membrane
P20700,LMNB1,Nucleus
P52948,NUP98,Nucleus
Q13415,ORC1,Nucleus
Q13416,ORC2,Nucleus
Q9UBD5,ORC3,Nucleus
O43929,ORC4,Nucleus
O43913,ORC5,Nucleus
Q9Y5N6,ORC6,Nucleus
P35558,PCK1,Cytosol
Q16822,PCK2,Mitochondria
P13667,PDIA4,ER
Q7Z412,PEX26,Peroxisome
P18669,PGAM1,Cytosol
P15259,PGAM2,Cytosol
P07205,PGK2,Cytosol
P20132,SDS,Mitochondria
Q9UGP8,SEC63,ER
P04179,SOD2,Mitochondria
Q99973,TEP1,Nucleus
O14746,TERT,Nucleus
P60174,TPI1,Cytosol
O00116,AGPS,Peroxisome
P09110,ACAA1,Peroxisome
P33897,ABCD1,Peroxisome
Q15067,ACOX1,Peroxisome
Q709F0,ACAD11,Peroxisome
O15254,ACOX3,Peroxisome
Q08426,EHHADH,Peroxisome
O14734,ACOT8,Peroxisome
Q10471,GALNT2,Golgi
Q8TB61,SLC35B2,Golgi
Q96L58,B3GALT6,Golgi
O94766,B3GAT3,Golgi
P33908,MAN1A1,Golgi
O00754,MAN2B1,Lysosome
P06865,HEXA,Lysosome
O00115,DNASE2,Lysosome
O14773,TPP1,Lysosome
P15586,GNS,Lysosome
P42785,PRCP,Lysosome
P51688,SGSH,Lysosome
Q13510,ASAH1,Lysosome
Q92820,GGH,Lysosome
O00584,RNASET2,Lysosome
P17050,NAGA,Lysosome
P17900,GM2A,Lysosome
Q01459,CTBS,Lysosome
P20933,AGA,Lysosome
P23284,PPIB,ER
P27797,CALR,ER
Q14165,MLEC,ER
Q14257,RCN2,ER
Q16850,CYP51A1,ER
Q8TCJ2,STT3B,ER
Q9Y2G5,POFUT2,ER
Q9Y4L1,HYOU1,ER
O15460,P4HA2,ER
O76024,WFS1,ER
P11021,HSPA5,ER
P50454,SERPINH1,ER
P67812,SEC11A,ER
Q12797,ASPH,ER
Q13724,MOGS,ER
Q15293,RCN1,ER
Q6UXH1,CRELD2,ER
Q969N2,PIGT,ER
P22626,HNRNPA2B1,Nucleus
P78527,PRKDC,Nucleus
Q00839,HNRNPU,Nucleus
Q08211,DHX9,Nucleus
P19525,EIF2AK2,Nucleus
P43243,MATR3,Nucleus
P52597,HNRNPF,Nucleus
P09651,HNRNPA1,Nucleus
P14866,HNRNPL,Nucleus
P01889,HLA-B,Plasma membrane
P08648,ITGA5,Plasma membrane
P15144,ANPEP,Plasma membrane
P17301,ITGA2,Plasma membrane
O00161,SNAP23,Plasma membrane
P11233,RALA,Plasma membrane
P25445,FAS,Plasma membrane
P29317,EPHA2,Plasma membrane
O00186,STXBP3,Plasma membrane
O75695,RP2,Plasma membrane
P05026,ATP1B1,Plasma membrane
P06756,ITGAV,Plasma membrane
P08195,SLC3A2,Plasma membrane
P08473,MME,Plasma membrane
P27487,DPP4,Plasma membrane
P43121,MCAM,Plasma membrane
P31947,SFN,Cytosol
P31949,S100A11,Cytosol
P52565,ARHGDIA,Cytosol
P08133,ANXA6,Cytosol
P31946,YWHAB,Cytosol
P32119,PRDX2,Cytosol
Q01995,TAGLN,Cytosol
Q04917,YWHAH,Cytosol
Q9H299,SH3BGRL3,Cytosol
O75083,WDR1,Cytosol
P07737,PFN1,Cytosol
P08758,ANXA5,Cytosol
P13797,PLS3,Cytosol
P67936,TPM4,Cytosol
Q15746,MYLK,Dense cytosol
P62241,RPS8,Dense cytosol
P25398,RPS12,Dense cytosol
P62847,RPS24,Dense cytosol
P60866,RPS20,Dense cytosol
P46779,RPL28,Dense cytosol
P22102,GART,Dense cytosol
P17858,PFKL,Dense cytosol
P07741,APRT,Dense cytosol

